"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","769","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","568","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","535","","","","0"
"1998","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1928","","","","0"
"1999","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2053","","","","0"
"2000","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2045","","","","0"
"2001","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2151","","","","0"
"2002","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2103","","","","0"
"2003","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2101","","","","0"
"2004","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1927","","","","0"
"2005","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2127","","","","0"
"2006","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2434","","","","0"
"2007","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2194","","","","0"
"2008","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2138","","","","0"
"2009","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2188","","","","0"
"2010","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2344","","","","0"
"2011","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2077","","","","0"
"2012","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2247","","","","0"
"2013","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2180","","","","0"
"2014","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1861","","","","0"
"2015","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1678","","","","0"
"2016","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1693","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1803","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2017","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2152","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1984","","","","0"
"1998","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1694.68","","","","2"
"1999","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1790.51","","","","2"
"2000","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1774.30","","","","2"
"2001","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1854.74","","","","2"
"2002","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1800.37","","","","2"
"2003","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1785.33","","","","2"
