"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","20944","","","","0"
"2009","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","20603","","","","0"
"2010","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","19935","","","","0"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","19410","","","","0"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","18160","","","","0"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","16312","","","","0"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","15878","","","","0"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","14710","","","","0"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","15108","","","","0"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","15353","","","","0"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","15694","","","","0"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","15223","","","","0"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44348367","5.1.7","13853","","","","0"
"1998","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2457.47","","","","2"
"1999","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2391.45","","","","2"
"2000","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2115.16","","","","2"
"2001","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2213.98","","","","2"
"2002","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2176.81","","","","2"
"2003","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2280.84","","","","2"
"2004","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2219.38","","","","2"
"2005","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2011.67","","","","2"
"2006","Nova Scotia [12]","2016A000212","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44348829","5.1.8","2218.77","","","","2"
